method	url	status	commit	detail
o_lora	https://github.com/cmnfriend/O-LoRA.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/o_lora'... fatal: unable to access 'https://github.com/cmnfriend/O-LoRA.git/': Failed to connect to github.com port 443 after 129541 ms: Connection timed out
progressive_prompts	https://github.com/arazd/ProgressivePrompts.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/progressive_prompts'... fatal: unable to access 'https://github.com/arazd/ProgressivePrompts.git/': Failed to connect to github.com port 443 after 131048 ms: Connection timed out
continual_t0	https://github.com/ThomasScialom/T0_continual_learning.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/continual_t0'... fatal: unable to access 'https://github.com/ThomasScialom/T0_continual_learning.git/': Failed to connect to github.com port 443 after 131054 ms: Connection timed out
lfpt5	https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/lfpt5'... fatal: unable to access 'https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning.git/': GnuTLS recv error (-110): The TLS connection was non-properly terminated.
lamol	https://github.com/jojotenya/LAMOL.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/lamol'... fatal: unable to access 'https://github.com/jojotenya/LAMOL.git/': Failed to connect to github.com port 443 after 130795 ms: Connection timed out
trace_rcl	https://github.com/BeyonderXX/TRACE.git	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/external_baselines/trace_rcl'... fatal: unable to access 'https://github.com/BeyonderXX/TRACE.git/': Failed to connect to github.com port 443 after 131059 ms: Connection timed out
