method	url	path	status	commit	detail
inf_lora	https://github.com/liangyanshuo/InfLoRA.git	/root/autodl-tmp/Lora-code/baselines/advanced_baselines/inf_lora/external	failed		exit=124; Cloning into '/root/autodl-tmp/Lora-code/baselines/advanced_baselines/inf_lora/external'...
adaptercl_dialogue	https://github.com/andreamad8/ToDCL.git	/root/autodl-tmp/Lora-code/baselines/advanced_baselines/adaptercl_dialogue/external	failed		exit=128; Cloning into '/root/autodl-tmp/Lora-code/baselines/advanced_baselines/adaptercl_dialogue/external'... fatal: unable to access 'https://github.com/andreamad8/ToDCL.git/': Failed to connect to github.com port 443 after 130479 ms: Connection timed out
arper_dialog_nlg	https://github.com/MiFei/Continual-Learning-for-NLG.git	/root/autodl-tmp/Lora-code/baselines/advanced_baselines/arper_dialog_nlg/external	downloaded	99019defe6bf35e8459ca6abd6f25882724bc956	clone ok in 209.7s; Cloning into '/root/autodl-tmp/Lora-code/baselines/advanced_baselines/arper_dialog_nlg/external'...
