resource	url	status	content_type	bytes	detail
colab	https://colab.research.google.com/drive/1Wp2mk5Dbzw5PAGcMOuuE_xB-6gFV0800	200	text/html; charset=UTF-8	96130	<!DOCTYPE html><html lang="en"><head><script nonce="NAEHPIoRZSnn+b+7foZg2A==">window.performance.mark('head_start');</script><script nonce="NAEHPIoRZSnn+b+7foZg2A==">       document.addEventListener('
drive_folder	https://drive.google.com/drive/folders/1aQmnPmYGoQIYPK5jgbv4K4PXYYNwqisH?usp=sharing	200	text/html; charset=utf-8	381142	<!DOCTYPE html><html lang="zh" dir="ltr" class="a-Lk"><head><meta name="format-detection" content="telephone=no"><meta name="google" value="notranslate"><meta property="og:site_name" content="Google D
